active_users,date
128,2020-11-09
133,2020-11-08
134,2020-11-07
135,2020-11-06
135,2020-11-05
133,2020-11-04
133,2020-11-03
129,2020-11-02
128,2020-11-01
129,2020-10-31
130,2020-10-30
128,2020-10-29
123,2020-10-28
123,2020-10-27
123,2020-10-26
124,2020-10-25
126,2020-10-24
129,2020-10-23
131,2020-10-22
131,2020-10-21
128,2020-10-20
126,2020-10-19
125,2020-10-18
126,2020-10-17
129,2020-10-16
131,2020-10-15
131,2020-10-14
130,2020-10-13
130,2020-10-12
133,2020-10-11
136,2020-10-10
135,2020-10-09
143,2020-10-08
140,2020-10-07
137,2020-10-06
134,2020-10-05
136,2020-10-04
137,2020-10-03
139,2020-10-02
135,2020-10-01
136,2020-09-30
136,2020-09-29
131,2020-09-28
132,2020-09-27
136,2020-09-26
141,2020-09-25
136,2020-09-24
129,2020-09-23
124,2020-09-22
122,2020-09-21
123,2020-09-20
125,2020-09-19
135,2020-09-18
138,2020-09-17
136,2020-09-16
134,2020-09-15
132,2020-09-14
135,2020-09-13
137,2020-09-12
135,2020-09-11
136,2020-09-10
135,2020-09-09
126,2020-09-08
125,2020-09-07
127,2020-09-06
132,2020-09-05
129,2020-09-04
137,2020-09-03
137,2020-09-02
136,2020-09-01
135,2020-08-31
136,2020-08-30
138,2020-08-29
136,2020-08-28
132,2020-08-27
133,2020-08-26
133,2020-08-25
133,2020-08-24
132,2020-08-23
133,2020-08-22
133,2020-08-21
133,2020-08-20
127,2020-08-19
117,2020-08-18
112,2020-08-17
113,2020-08-16
115,2020-08-15
113,2020-08-14
108,2020-08-13
108,2020-08-12
106,2020-08-11
102,2020-08-10
102,2020-08-09
102,2020-08-08
101,2020-08-07
99,2020-08-06
101,2020-08-05
94,2020-08-04
89,2020-08-03
91,2020-08-02
93,2020-08-01
92,2020-07-31
99,2020-07-30
101,2020-07-29
101,2020-07-28
96,2020-07-27
95,2020-07-26
98,2020-07-25
103,2020-07-24
111,2020-07-23
113,2020-07-22
111,2020-07-21
107,2020-07-20
107,2020-07-19
108,2020-07-18
106,2020-07-17
107,2020-07-16
107,2020-07-15
109,2020-07-14
108,2020-07-13
114,2020-07-12
116,2020-07-11
119,2020-07-10
121,2020-07-09
124,2020-07-08
119,2020-07-07
114,2020-07-06
113,2020-07-05
115,2020-07-04
116,2020-07-03
116,2020-07-02
116,2020-07-01
109,2020-06-30
104,2020-06-29
103,2020-06-28
106,2020-06-27
108,2020-06-26
110,2020-06-25
104,2020-06-24
97,2020-06-23
88,2020-06-22
87,2020-06-21
108,2020-06-20
109,2020-06-19
117,2020-06-18
116,2020-06-17
113,2020-06-16
113,2020-06-15
114,2020-06-14
115,2020-06-13
115,2020-06-12
122,2020-06-11
121,2020-06-10
117,2020-06-09
111,2020-06-08
113,2020-06-07
114,2020-06-06
115,2020-06-05
114,2020-06-04
117,2020-06-03
112,2020-06-02
110,2020-06-01
109,2020-05-31
113,2020-05-30
119,2020-05-29
119,2020-05-28
118,2020-05-27
118,2020-05-27
118,2020-05-27
115,2020-05-23
113,2020-05-21
83,2020-05-18
78,2020-05-17
81,2020-05-15
79,2020-05-14
80,2020-05-13
72,2020-05-11
73,2020-05-09
74,2020-05-08
73,2020-05-07
66,2020-05-05
62,2020-04-30
53,2020-04-26
60,2020-04-23
61,2020-04-22
68,2020-04-21
66,2020-04-19
66,2020-04-18
69,2020-04-17
75,2020-04-10
75,2020-04-09
79,2020-04-08
79,2020-04-07
82,2020-04-01
85,2020-03-31
84,2020-03-30
82,2020-03-28
93,2020-03-26
94,2020-03-25
91,2020-03-23
88,2020-03-20
88,2020-03-19
89,2020-03-18
85,2020-03-17
82,2020-03-11
88,2020-03-10
89,2020-03-09
86,2020-03-08
86,2020-03-07
89,2020-03-06
90,2020-03-05
90,2020-03-04
86,2020-03-01
88,2020-02-29
88,2020-02-28
81,2020-02-27
62,2019-12-19
59,2019-12-20
57,2019-12-22
59,2019-12-24
59,2019-12-25
57,2019-12-27
57,2019-12-28
58,2019-12-29
59,2019-12-30
58,2020-01-01
57,2020-01-02
55,2020-01-04
52,2020-01-05
53,2020-01-06
56,2020-01-07
63,2020-01-08
62,2020-01-09
60,2020-01-10
60,2020-01-11
59,2020-01-12
60,2020-01-13
61,2020-01-14
62,2020-01-15
65,2020-01-16
63,2020-01-17
63,2020-01-18
63,2020-01-19
64,2020-01-20
64,2020-01-21
63,2020-01-22
63,2020-01-23
65,2020-01-24
65,2020-01-25
66,2020-01-26
66,2020-01-27
67,2020-01-28
69,2020-01-29
69,2020-01-30
70,2020-01-31
69,2020-02-01
67,2020-02-02
72,2020-02-03
72,2020-02-04
71,2020-02-05
74,2020-02-06
74,2020-02-07
71,2020-02-08
70,2020-02-09
76,2020-02-10
79,2020-02-11
77,2020-02-12
76,2020-02-13
76,2020-02-14
75,2020-02-15
74,2020-02-16
76,2020-02-17
77,2020-02-18
80,2020-02-19
80,2020-02-20
79,2020-02-21
79,2020-02-22
78,2020-02-23
78,2020-02-24
79,2020-02-25
